filename	placename
1833/28	Sublime Porte
1834/13	Sublime Porte
1835/17	Sublime Porte
1851/24	Sublime Porte
1818/17	Buenos Ayres
1818/25	Buenos Ayres
1819/27	Buenos Ayres
1819/29	Buenos Ayres
1823/15	Buenos Ayres
1824/22	Buenos Ayres
1824/22	Buenos Ayres
1826/47	Buenos Ayres
1827/29	Buenos Ayres
1828/17	Buenos Ayres
1828/47	Buenos Ayres
1831/34	Buenos Ayres
1832/21	Buenos Ayres
1833/36	Buenos Ayres
1834/21	Buenos Ayres
1843/20	Buenos Ayres
1881/39	Buenos Ayres
1892/63	Buenos Ayres
1898/73	Buenos Ayres
1898/74	Buenos Ayres
1829/9	French
1829/11	European
1829/14	Danish
1802/8	Barbary Powers
1802/18	Barbary Powers
1808/11	Barbary Powers
1812/18	Barbary Powers
1818/38	Barbary Powers
1821/49	Barbary Powers
1829/15	Barbary Powers
1834/13	Barbary Powers
1836/18	Barbary Powers
1864/16	Barbary Powers
1827/28	southern Republics
1829/16	southern Republics
1829/18	South American
1844/27	Bryarlys Landing
1845/46	Bryarlys Landing
1844/10	Germanic States
1844/10	Zollverein
1852/57	Behrings Straits
1864/14	Behrings Straits
1864/14 South American States
1864/14 eastern coast of America
1854/12	Pugets Sound
1855/31	Pugets Sound
1864/22	Pugets Sound
1868/65	Puget Sound
1869/36	Puget Sound
1906/67	Puget Sound
1907/68	Puget Sound
1907/88	Puget Sound
1908/96	Puget Sound
1864/52	Rocky mountains


