filename	placename
1833/28	Sublime Porte
1834/13	Sublime Porte
1835/17	Sublime Porte
1851/24	Sublime Porte
1818/17	Buenos Ayres
1818/25	Buenos Ayres
1819/27	Buenos Ayres
1819/29	Buenos Ayres
1823/15	Buenos Ayres
1824/22	Buenos Ayres
1824/22	Buenos Ayres
1826/47	Buenos Ayres
1827/29	Buenos Ayres
1828/17	Buenos Ayres
1828/47	Buenos Ayres
1831/34	Buenos Ayres
1832/21	Buenos Ayres
1833/36	Buenos Ayres
1834/21	Buenos Ayres
1843/20	Buenos Ayres
1881/39	Buenos Ayres
1892/63	Buenos Ayres
1898/73	Buenos Ayres
1898/74	Buenos Ayres
1829/9	French
1829/11	European
1829/14	Danish
1802/8	Barbary Powers
1802/18	Barbary Powers
1808/11	Barbary Powers
1812/18	Barbary Powers
1818/38	Barbary Powers
1821/49	Barbary Powers
1829/15	Barbary Powers
1834/13	Barbary Powers
1836/18	Barbary Powers
1864/16	Barbary Powers
1806/11	coast of Barbary
1807/11	coast of Barbary
1809/11	coast of Barbary
1820/34	coast of Barbary
1824/22	coast of Barbary
1835/17	coast of Barbary
1827/28	southern Republics
1829/16	southern Republics
1829/18	South American
1844/27	Bryarlys Landing
1845/46	Bryarlys Landing
1844/10	Germanic States
1844/10	Zollverein
1852/57	Behrings Straits
1864/14	Behrings Straits
1864/14	South American States
1864/14	eastern coast of America
1854/12	Pugets Sound
1855/31	Pugets Sound
1864/22	Pugets Sound
1868/65	Puget Sound
1869/36	Puget Sound
1906/67	Puget Sound
1907/68	Puget Sound
1907/88	Puget Sound
1908/96	Puget Sound
1864/52	Rocky mountains
1852/16	the Orient
1868/45	the Orient
1899/168	the Orient
1900/192	the Orient
1904/43	the Orient
1904/77	the Orient
1904/109	the Orient
1904/115	the Orient
1906/71	the Orient
1907/88	the Orient
1911/111	the Orient
1912/149	the Orient
1912/150	the Orient
1874/12	Formosa
1904/115	Formosa
1953/32	Formosa
1953/34	Formosa
1966/84	Formosa
1845/42	Java
1904/115	Java
1911/111	Java
1943/4	Java
1833/19	Balearic
1845/42	Balearic
1836/18	Ottoman Empire
1868/64	Ottoman Empire
1875/34	Ottoman Empire
1883/20	Ottoman Empire
1884/38	Ottoman Empire
1895/56	Ottoman Empire
1909/27	Ottoman Empire
1911/121	Ottoman Empire
1912/66	Ottoman Empire
1832/17	Turkish Empire
1853/14	Turkish Empire
1899/115	Turkish Empire
1917/11	Turkish Empire
1894/28	Island Empire
1862/11	Russian Empire
1883/12	Russian Empire
1894/28	Japanese Empire
1909/51	Japanese Empire
1844/12	Chinese Empire
1857/36	Chinese Empire
1858/35	Chinese Empire
1859/18	Chinese Empire
1859/21	Chinese Empire
1860/76	Chinese Empire
1870/20	Chinese Empire
1891/24	Chinese Empire
1895/10	Chinese Empire
1898/91	Chinese Empire
1898/92	Chinese Empire
1899/59	Chinese Empire
1900/18	Chinese Empire
1900/43	Chinese Empire
1900/88	Chinese Empire
1902/37	Chinese Empire
1904/78	Chinese Empire
1909/46	Chinese Empire
1911/109	Chinese Empire
1911/112	Chinese Empire
1837/11	German Empire
1849/9	German Empire
1849/10	German Empire
1872/26	German Empire
1879/48	German Empire
1880/28	German Empire
1892/26	German Empire
1892/27	German Empire
1895/19	German Empire
1899/69	German Empire
1900/70	German Empire
1900/73	German Empire
1917/12	German Empire
1917/13	German Empire
1871/16	Austro-Hungarian
1872/26	Austro-Hungarian
1885/10	Austro-Hungarian
1898/14	Austro-Hungarian
1898/78	Austro-Hungarian
1899/34	Austro-Hungarian
1900/52	Austro-Hungarian
1917/11	Austro-Hungarian








1828/4	Empire of Russia
1831/25	Empire of the Russias
1831/33	Empire of Brazil
1832/16	Empire of Russia
1832/17	Turkish Empire
1832/20	Empire of Brazil
1836/18	Ottoman Empire
1837/11	German Empire
1839/20	American Empire
1839/20	Empire of Brazil
1842/18	Empire of Brazil
1844/12	Chinese Empire
1849/9	German Empire
1849/9	German Empire
1849/9	German Empire
1849/10	German Empire
1849/10	German Empire
1853/14	Turkish Empire
1853/16	Empire of China
1854/16	Empire of Japan
1857/36	Chinese Empire
1857/36	Empire of the
1857/39	Empire of Brazil
1858/35	Chinese Empire
1858/71	Empire of Brazil
1859/18	Chinese Empire
1859/21	Chinese Empire
1860/68	Empire of Russia
1860/75	Empire of China
1860/76	Chinese Empire
1860/79	Empire of Brazil
1862/11	Russian Empire
1865/34	Empire of Brazil
1868/64	Ottoman Empire
1870/20	Chinese Empire
